Geography Name,County FIPS,County Name,Place FIPS,Total Population,Population Density (Per Sq. Mile),Area (Land),Living in Poverty,At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk,Application Number,Project Title,Project Description ,Applicant,Applicant Type,Project Type,Application Date,State Agency Requested for Funding,Funding Request ($),Total Project Budget ($),Funding Decision Year,Award Date,Grant Award ($),Encumbered ($),City/Town
Angier town,85,Harnett,3701400,5748,1796.7,3.2,206,1364,3322,467,2855,799,128,671,,0.57,0.22,3.04,3.26,2,Town-wide Hydrologic + Hydraulic (H+H) Analysis,"Lillington is subject to frequent flooding which makes roads impassable and reduces access to emergency services. The town began to recognize how severe the stormwater system’s limitations are after a major rainstorm in 2020. Following the rain event, the town identified several areas of inadequate and damaged stormwater infrastructure. Golden LEAF flood mitigation grant funds will be used for engineering expenses for analysis and planning regarding ten flooding hotspots. There are households, public and private entities within the immediate project area of the identified hotspots. The entire town will benefit from this project. Major highways, including NC 210, US 401, US 421, and NC 27 will also benefit since they pass through Lillington and are frequently closed during heavy rain events.",Town of Lillington,Local Government,Planning,2/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,225250,225250,Lillington
Ansonville town,7,Anson,3701420,625,424.8,1.47,32,62,395,67,328,136,31,105,46,0.7,0,1.8,1.8,,,,,,,,,,,,,,,
Apex town,183,Wake,3701520,55220,2511.6,21.99,659,15620,34525,1101,33424,4237,229,4008,88,0.17,0.32,4.46,4.78,,,,,,,,,,,,,,,
Aquadale CDP,167,Stanly,3701560,413,126.9,3.26,0,32,316,0,316,65,0,65,,0.57,0.11,0.44,0.55,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Albemarle
Arapahoe town,137,Pamlico,3701640,397,182.8,2.17,6,35,257,22,235,99,7,92,56,0.37,,,,,,,,,,,,,,,,,,
Archdale city,"81, 151","Guilford, Randolph",3701720,11738,1328.8,8.83,243,2287,6813,551,6262,2218,121,2097,,0.41,0.86,5.99,6.84,,,,,,,,,,,,,,,
Archer Lodge town,101,Johnston,3701760,5037,555.5,9.07,522,576,3099,228,2871,840,92,748,,0.16,0,2.25,2.25,23,Selma Flood Mitigation modeling,"The Town of Selma experiences flooding during heavy non-named rain events in the northeast quadrant of town. The town is separated in four quadrants that are separated by railroads crossing through the center of town. Each quadrant has its own individual internal drainage creating a bowl type system. Golden LEAF flood mitigation grant funds will be used to develop a stormwater master plan for the Town of Selma in the northeastern quadrant. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. Within this quadrant there are households, businesses, other public and private facilities, and healthcare facilities that will benefit from this project. Additionally, the Town Hall, the Selma Fire Department, and the historic Rudy Theater are located in this area. The roads around the fire and EMS stations become impassable. Access to US highway 301 also becomes restricted during flood events. ",Town of Selma,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,137500,137500,Selma
Arrowhead Beach CDP,41,Chowan,3701972,799,1305.5,0.61,0,217,410,11,399,172,0,172,,0.42,1.6,38.28,39.87,5,Edenton Old Hertford Hazard Mitigation Project 2022,"The eastern portion of Edenton is subject to stormwater flooding due to the limited capacity of downstream culverts that extend under Old Hertford Road. Golden LEAF flood mitigation grant funds will be used to replace an existing pipe under Old Hertford Road with a box culvert design and replace existing piping downstream of Old Hertford Road with two larger lines. Improving the transport of stormwater runoff from this area will also allow the town to focus on upstream improvements previously limited by this downstream bottleneck. There are households, businesses and residential care homes for adults with special needs in the immediate project area. Due to the bottleneck in this area, areas upstream feel impacts from flooding as well.",Town of Edenton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,249300,249300,Edenton
Asheboro city,151,Randolph,3702080,25877,1369.7,18.89,1636,4860,14434,2853,11581,4178,379,3799,78,0.77,0.39,3.88,4.28,,,,,,,,,,,,,,,
Asheville city,21,Buncombe,3702140,92328,2030.5,45.47,2766,12764,56958,7285,49673,16440,1763,14677,92,0.4,1.29,7.28,8.57,17,Swannanoa River Road Flood Mitigation and Damage Reduction Feasibility Study,"The Swannanoa River floodplains between South Tunnel Road and Biltmore Avenue and Hendersonville Road in Asheville experience frequent flooding resulting in closure of Swannanoa River Road, property damage, disruption of emergency service access, and increased wastewater treatment costs due to sanitary sewer overflows. Swannanoa River Road serves as the principal east-west corridor for emergency services and access to Mission Hospital and Mission Children's Hospital. Golden LEAF flood mitigation grant funds will be used to evaluate the flood mitigation and flood damage reduction benefits of potential actions through hydrologic and hydraulic modeling, updating the Structure Inventory Database, developing a conceptual plan and feasibility analysis, and implementation cost estimates for the potential floodplain modifications. NCDOT State Transportation Improvement Program has allocated $48M for Swannanoa River Roadway corridor modernization in future years. The City will also pursue FEMA Flood Mitigation and Building Resilient Infrastructure and Communities funding for buyouts and floodplain restoration. City and County Metropolitan Sewerage District capital improvement funds can be used for utility relocations in the corridor. Businesses and households in the area will benefit from this project.",City of Asheville,Local Government,Planning,4/22/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,150000,150000,Asheville
Ashley Heights CDP,93,Hoke,3702240,326,145.8,2.24,53,13,193,76,117,67,7,60,52,0.05,0,2,2,,,,,,,,,,,,,,,
Askewville town,15,Bertie,3702320,182,307.5,0.59,0,18,85,6,79,79,20,59,47,0.62,0,1,1,,,,,,,,,,,,,,,
Atkinson town,141,Pender,3702460,351,354.6,0.99,16,60,209,41,168,66,12,54,56,0.6,2.2,8.56,10.76,3,Surf City South Shore Flood Mitigation Project,"The 2200 block of South Shore Drive in Surf City experiences flooding on the roadway due to insufficient stormwater infrastructure. Stormwater runoff is trapped on the road by higher elevation of driveways serving houses along the road. Heavy rainfall causes flooding that obstructs passage of vehicles, including public safety vehicles. This road is the only way in and out of southern Surf City and serves the entirety of Topsail Beach. A feasibility study of the overall stormwater issues along South Shore Drive developed a specific solution to address the issue. Golden LEAF flood mitigation grant funds will be used to install a catch basin with drain pipe to convey stormwater to a new infiltration chamber system that collects and releases stormwater back into native soils. Once completed, the town’s utilities staff will maintain the system. The project will directly serve households, and public and private entities.",Town of Surf City,Local Government,Infrastructure,2/25/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,Surf City
Atlantic CDP,31,Carteret,3702480,608,661,0.92,0,108,371,18,353,129,5,124,,0.38,18.46,18.91,37.37,,,,,,,,,,,,,,,
Atlantic Beach town,31,Carteret,3702500,1870,799.5,2.34,34,171,855,83,772,805,13,792,7,0.22,20.24,74.26,94.5,,,,,,,,,,,,,,,
Aulander town,15,Bertie,3702580,965,653.3,1.48,73,211,538,116,422,143,20,123,41,0.89,4.1,14.78,18.88,,,,,,,,,,,,,,,
Aurora town,13,Beaufort,3702620,772,831.7,0.93,92,70,471,134,337,134,36,98,53,0.61,10.71,41.64,52.34,12,Town of Aurora Drainage Ditch and Tributary Maintenance and Easement Plan,"The Town of Aurora experiences frequent flooding in heavy rainfall events, specifically in the northeast section of town. The ditches and tributaries no longer empty water at the speed at which they did previously. Aurora participated in the N.C. Resilient Coastal Communities Program and, through a public input process, prioritized assessing this existing infrastructure to address flooding. Golden LEAF flood mitigation grant funds will be used to create a maintenance plan and schedule for all the ditches and tributaries within the town’s jurisdiction and to determine a list of easements that will be required to implement the recommendations for maintenance. The entire town will benefit from the completion of this project.",Town of Aurora,Local Government,Planning,4/27/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,225000,225000,Aurora
Autryville town,163,Sampson,3702700,192,367.5,0.52,0,25,111,7,104,56,0,56,48,0.52,1.98,34.95,36.93,9,Clinton Weeks Street Hazard Mitigation Project 2022,"The City of Clinton experiences frequent flooding along Weeks Street, including three major flooding events in 2021. During flooding events along Weeks Street, emergency vehicles are unable to access residences and surrounding roads (including Highway 24) are overtopped. A 2020 preliminary drainage feasibility study found that flooding is likely caused by an undersized pipe system with minimal elevation change. Currently, the existing drainage route runs along Weeks Street into the drainage route from Smithfield Packing Company. Golden LEAF flood mitigation grant funds will be used to reroute the existing drainage system into a separate path to cross Highway 24 and into an existing farm ditch. Additional curb inlets and reinforced concrete pipe will be installed to support the design. City and other funds will be used to improve the existing farm ditch which currently collects runoff. Households in the project area and vehicles traveling on adjacent roads will benefit from this project.",Town of Clinton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Clinton
Avery Creek CDP,21,Buncombe,3702760,3256,1880.2,1.73,53,676,2225,25,2200,302,0,302,65,0.28,0.16,0.97,1.12,17,Swannanoa River Road Flood Mitigation and Damage Reduction Feasibility Study,"The Swannanoa River floodplains between South Tunnel Road and Biltmore Avenue and Hendersonville Road in Asheville experience frequent flooding resulting in closure of Swannanoa River Road, property damage, disruption of emergency service access, and increased wastewater treatment costs due to sanitary sewer overflows. Swannanoa River Road serves as the principal east-west corridor for emergency services and access to Mission Hospital and Mission Children's Hospital. Golden LEAF flood mitigation grant funds will be used to evaluate the flood mitigation and flood damage reduction benefits of potential actions through hydrologic and hydraulic modeling, updating the Structure Inventory Database, developing a conceptual plan and feasibility analysis, and implementation cost estimates for the potential floodplain modifications. NCDOT State Transportation Improvement Program has allocated $48M for Swannanoa River Roadway corridor modernization in future years. The City will also pursue FEMA Flood Mitigation and Building Resilient Infrastructure and Communities funding for buyouts and floodplain restoration. City and County Metropolitan Sewerage District capital improvement funds can be used for utility relocations in the corridor. Businesses and households in the area will benefit from this project.",City of Asheville,Local Government,Planning,4/22/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,150000,150000,Asheville
Avon CDP,55,Dare,3702780,474,208.7,2.27,0,22,287,24,263,165,25,140,,0.67,0,98.64,98.64,21,Roanoke Island Drainage Improvements,"The Roanoke Colony residential neighborhood in Dare County experiences frequent flooding during major storm events due to undersized drainage structures in this flat, low-lying area on the northern end of Roanoke Island. After Hurricane Matthew, NCDOT and Dare County completed the 2019 Roanoke Island Flooding Analysis which proposed drainage improvements. Golden LEAF flood mitigation grant funds will be used to incorporate recommendations to upsize pipes and implement other improvements to the area. Areas upstream flood more frequently and the study determined undersized piping in the project area slowed the drainage of those properties. Proposed work includes replacing 150 linear feet of existing pipe with a larger size, enclosing the ditch within Roanoke Colony with drainage pipe with drop inlets, replacing the culvert beneath Roanoke Trail, removing the culvert immediately downstream of the airport property, and regrading/widening the ditch that runs between the Outer Banks SPCA and airport. Homes located in the upstream area identified in the analysis will benefit from this project.",Dare County,Local Government,Infrastructure,6/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,County
Ayden town,147,Pitt,3702840,5138,1347.1,3.81,344,911,2796,600,2196,963,182,781,67,0.8,0.57,9.02,9.6,,,,,,,,,,,,,,,
Badin town,167,Stanly,3702960,1976,1090,1.81,61,228,665,181,484,200,11,189,6,0.65,0.42,3.08,3.49,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Albemarle
Bailey town,127,Nash,3703020,492,700.9,0.7,72,50,244,48,196,126,8,118,56,0.67,,,,,,,,,,,,,,,,,,
Bakersville town,121,Mitchell,3703100,706,928.8,0.76,29,49,316,55,261,312,52,260,47,0.62,5.62,14.11,19.73,,,,,,,,,,,,,,,
Bald Head Island village,19,Brunswick,3703150,209,53.4,3.91,0,0,49,2,47,160,4,156,69,0.01,6.02,77.24,83.26,13,"Holly, Walnut and Redwood Stormwater Project","Boiling Spring Lakes experiences flooding several times a year along Holly, Walnut, and Redwood roads. In 2014, a preliminary engineering report was conducted along these roads to determine optimal solutions to reduce flooding in the area. A 2021 stormwater management master plan prioritized this project. When flooding occurs in this area, homes experience flooding for multiple days. Boiling Spring Lakes will use Golden LEAF flood mitigation grant funds to install stormwater infrastructure along the areas of Holly, Walnut, and Redwood roads. Project activities include digging approximately 3,000 linear feet of drainage ditches with the installation of driveway pipes and several spans of reinforced concrete pipe. Households in the project area will benefit from this project.",City of Boiling Springs Lakes,Local Government,Infrastructure,5/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Boiling Springs Lakes
Balfour CDP,89,Henderson,3703220,1177,725,1.62,12,180,704,67,637,281,31,250,6,0.35,0.83,4.68,5.51,,,,,,,,,,,,,,,
Banner Elk town,11,Avery,3703500,1473,767.2,1.92,29,43,327,58,269,206,7,199,63,0.66,1.82,11.24,13.07,,,,,,,,,,,,,,,
Barker Heights CDP,89,Henderson,3703640,1289,1297.7,0.99,150,164,838,250,588,137,0,137,55,0.47,2.35,38.39,40.74,,,,,,,,,,,,,,,
Barker Ten Mile CDP,155,Robeson,3703665,955,419.5,2.28,9,101,532,34,498,313,8,305,64,0.57,0.07,6.52,6.59,4,Flood Mitigation for the Linkhaw Road Area,"Lumberton, specifically in the area of Linkhaw Road, experiences flooding in any 2-inch or greater rain event. The city completed several studies to develop strategies to resolve flooding throughout the city. This project area is part of its existing studies and is located along a major thoroughfare that is in a 518-acre drainage area. The specific project site is at the downstream end of a drainage ditch that has larger pipes upstream. Due to the undersized existing piping, this project site creates a bottleneck for stormwater flow. Golden LEAF flood mitigation grant funds will be used to upsize the capacity of stormwater at the juncture of Linkhaw Rd and the railroad. The applicant proposes to install stormwater infrastructure to increase the capacity of the flow under the railroad which will require widening the canal to accommodate it. The stormwater will flow into a culvert downstream and into an existing impoundment area. Once the infrastructure work is completed, the city will be able to utilize the road more reliably for emergency services. There are households, public and private entities (including a kidney dialysis center), and a nursing facility in the immediate project area.",City of Lumberton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,Lumberton
Barker Ten Mile CDP,155,Robeson,3703665,955,419.5,2.28,9,101,532,34,498,313,8,305,64,0.57,0.07,6.52,6.59,24,Stormwater Assessment and Plan,"The Town of Maxton experiences flooding during heavy rain events in the subwatershed that drains the eastern half of the town. The town first noticed damage to its system when severe damage occurred following Hurricane Matthew. FEMA addressed many issues in this part of town, including repairs to streets and culverts, but determined the conveyance pipe experienced damage that predated Hurricane Matthew and was not eligible for FEMA funding. Due to this evidence, the town realized other sites have likely experienced damage to infrastructure that was not as dramatically exposed as the damage noticed following Hurricane Matthew. Flooding has affected the town in a number of different ways. Access to emergency services becomes impacted, natural swales throughout the town have filled with sediment, which causes conveyance of the stormwater to no longer flow as it was intended. Sinkholes and depressions have also begun to form around stormwater conveyance pipes due to fractures in the system. Additionally, the town has experienced flooding events that flood the gym and adjacent classrooms in the local elementary school. The railroad running through town has also been overtopped during flooding events. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Assessment and Plan for the eastern half of the town. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. The town has also provided a resolution to its commitment for a funding strategy to implement improvements that are identified in the stormwater comprehensive plan. All residents of the town will benefit from this project. Within the immediate project area there are households, businesses, other public and private entities, and health care providers that will benefit from this project.",Town of Maxton,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,122500,122500,Maxton
Barnardsville CDP,21,Buncombe,3703720,742,210.3,3.53,0,286,390,38,352,66,41,25,,0.35,1.49,10.53,12.02,17,Swannanoa River Road Flood Mitigation and Damage Reduction Feasibility Study,"The Swannanoa River floodplains between South Tunnel Road and Biltmore Avenue and Hendersonville Road in Asheville experience frequent flooding resulting in closure of Swannanoa River Road, property damage, disruption of emergency service access, and increased wastewater treatment costs due to sanitary sewer overflows. Swannanoa River Road serves as the principal east-west corridor for emergency services and access to Mission Hospital and Mission Children's Hospital. Golden LEAF flood mitigation grant funds will be used to evaluate the flood mitigation and flood damage reduction benefits of potential actions through hydrologic and hydraulic modeling, updating the Structure Inventory Database, developing a conceptual plan and feasibility analysis, and implementation cost estimates for the potential floodplain modifications. NCDOT State Transportation Improvement Program has allocated $48M for Swannanoa River Roadway corridor modernization in future years. The City will also pursue FEMA Flood Mitigation and Building Resilient Infrastructure and Communities funding for buyouts and floodplain restoration. City and County Metropolitan Sewerage District capital improvement funds can be used for utility relocations in the corridor. Businesses and households in the area will benefit from this project.",City of Asheville,Local Government,Planning,4/22/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,150000,150000,Asheville
Bath town,13,Beaufort,3703840,220,616.1,0.36,0,15,84,9,75,121,6,115,61,0.24,3.6,74.08,77.68,12,Town of Aurora Drainage Ditch and Tributary Maintenance and Easement Plan,"The Town of Aurora experiences frequent flooding in heavy rainfall events, specifically in the northeast section of town. The ditches and tributaries no longer empty water at the speed at which they did previously. Aurora participated in the N.C. Resilient Coastal Communities Program and, through a public input process, prioritized assessing this existing infrastructure to address flooding. Golden LEAF flood mitigation grant funds will be used to create a maintenance plan and schedule for all the ditches and tributaries within the town’s jurisdiction and to determine a list of easements that will be required to implement the recommendations for maintenance. The entire town will benefit from the completion of this project.",Town of Aurora,Local Government,Planning,4/27/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,225000,225000,Aurora
Bayboro town,137,Pamlico,3703960,1242,670.4,1.85,85,46,375,111,264,90,4,86,66,0.91,12.26,42.98,55.24,,,,,,,,,,,,,,,
Bayshore CDP,129,New Hanover,3704015,3776,1603.4,2.36,172,858,2124,296,1828,622,180,442,64,0.26,7.22,21.93,29.14,,,,,,,,,,,,,,,
Bayview CDP,13,Beaufort,3704040,473,448.2,1.06,0,28,310,30,280,135,0,135,,0.28,7.43,45.67,53.1,12,Town of Aurora Drainage Ditch and Tributary Maintenance and Easement Plan,"The Town of Aurora experiences frequent flooding in heavy rainfall events, specifically in the northeast section of town. The ditches and tributaries no longer empty water at the speed at which they did previously. Aurora participated in the N.C. Resilient Coastal Communities Program and, through a public input process, prioritized assessing this existing infrastructure to address flooding. Golden LEAF flood mitigation grant funds will be used to create a maintenance plan and schedule for all the ditches and tributaries within the town’s jurisdiction and to determine a list of easements that will be required to implement the recommendations for maintenance. The entire town will benefit from the completion of this project.",Town of Aurora,Local Government,Planning,4/27/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,225000,225000,Aurora
Bear Grass town,117,Martin,3704180,82,323.4,0.25,0,22,44,10,34,16,0,16,53,0.49,,,,,,,,,,,,,,,,,,
Beaufort town,31,Carteret,3704260,4382,865,5.07,136,484,2095,365,1730,1406,170,1236,68,0.29,15.7,58.84,74.54,,,,,,,,,,,,,,,
Beech Mountain town,"11, 189","Avery, Watauga",3704510,766,118.2,6.48,16,70,373,25,348,307,17,290,,0.23,,,,,,,,,,,,,,,,,,
Belhaven town,13,Beaufort,3704640,1239,779,1.59,108,181,601,159,442,344,59,285,62,0.63,0,100,100,12,Town of Aurora Drainage Ditch and Tributary Maintenance and Easement Plan,"The Town of Aurora experiences frequent flooding in heavy rainfall events, specifically in the northeast section of town. The ditches and tributaries no longer empty water at the speed at which they did previously. Aurora participated in the N.C. Resilient Coastal Communities Program and, through a public input process, prioritized assessing this existing infrastructure to address flooding. Golden LEAF flood mitigation grant funds will be used to create a maintenance plan and schedule for all the ditches and tributaries within the town’s jurisdiction and to determine a list of easements that will be required to implement the recommendations for maintenance. The entire town will benefit from the completion of this project.",Town of Aurora,Local Government,Planning,4/27/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,225000,225000,Aurora
Bell Arthur CDP,147,Pitt,3704680,378,203,1.86,0,111,233,0,233,34,0,34,,0.49,0.26,5.5,5.77,,,,,,,,,,,,,,,
Belmont city,71,Gaston,3704840,12292,1010.9,12.16,606,2406,7090,883,6207,1529,194,1335,85,0.29,0.8,3.14,3.95,,,,,,,,,,,,,,,
Belville town,19,Brunswick,3704950,2696,1581.8,1.7,24,439,1862,208,1654,347,5,342,75,0.33,2.1,26.01,28.11,13,"Holly, Walnut and Redwood Stormwater Project","Boiling Spring Lakes experiences flooding several times a year along Holly, Walnut, and Redwood roads. In 2014, a preliminary engineering report was conducted along these roads to determine optimal solutions to reduce flooding in the area. A 2021 stormwater management master plan prioritized this project. When flooding occurs in this area, homes experience flooding for multiple days. Boiling Spring Lakes will use Golden LEAF flood mitigation grant funds to install stormwater infrastructure along the areas of Holly, Walnut, and Redwood roads. Project activities include digging approximately 3,000 linear feet of drainage ditches with the installation of driveway pipes and several spans of reinforced concrete pipe. Households in the project area will benefit from this project.",City of Boiling Springs Lakes,Local Government,Infrastructure,5/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Boiling Springs Lakes
Belvoir CDP,147,Pitt,3704955,452,228.7,1.98,0,166,245,7,238,41,9,32,,0.9,44.31,27.91,72.22,,,,,,,,,,,,,,,
Belwood town,45,Cleveland,3704960,1130,91.9,12.3,75,183,683,97,586,185,29,156,57,0.58,0,5.23,5.23,,,,,,,,,,,,,,,
Bennett CDP,37,Chatham,3705020,355,111,3.2,52,109,154,63,91,40,18,22,,0.57,,,,16,Loves Creek Tributary 2 Flood Study,The Town of Siler City experiences flooding along Loves Creek Tributary 2 several times a year during heavy rain events. Flooding along the tributary causes nearby businesses to experience property damage and roadways to flood resulting in loss of access by the public. Golden LEAF flood mitigation grant funds will be used for necessary analysis to determine a list of priority projects for flood and stormwater mitigation. The town and business owners in the area will be responsible for implementation. The town is also committing to the creation of a stormwater utility fund. Businesses and households in the area will benefit from this project.,Town of Siler City,Local Government,Planning,3/29/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,210000,210000,Siler City
Benson town,101,Johnston,3705040,3843,1370.1,2.8,519,372,1811,484,1327,1059,254,805,,0.75,0,1,1,23,Selma Flood Mitigation modeling,"The Town of Selma experiences flooding during heavy non-named rain events in the northeast quadrant of town. The town is separated in four quadrants that are separated by railroads crossing through the center of town. Each quadrant has its own individual internal drainage creating a bowl type system. Golden LEAF flood mitigation grant funds will be used to develop a stormwater master plan for the Town of Selma in the northeastern quadrant. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. Within this quadrant there are households, businesses, other public and private facilities, and healthcare facilities that will benefit from this project. Additionally, the Town Hall, the Selma Fire Department, and the historic Rudy Theater are located in this area. The roads around the fire and EMS stations become impassable. Access to US highway 301 also becomes restricted during flood events. ",Town of Selma,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,137500,137500,Selma
