geography_name,county_fips,county_name,place_fips,total_population,population_density_per_sq_mile,area_land,living_in_poverty,at_or_above_poverty_level,population_age_18_to_64_for_whom_poverty_status_is_determined,living_in_poverty_1,at_or_above_poverty_level_1,population_age_65_and_over_for_whom_poverty_status_is_determined,living_in_poverty_2,at_or_above_poverty_level_2,rural_capacity_headwaters_index,social_vulnerability_cdc_index,percent_of_land_in_500_year_floodplain,percent_of_land_in_100_year_floodplain,total_percent_of_land_at_some_level_of_flood_risk,application_number,project_title,project_description,applicant,applicant_type,project_type,application_date,state_agency_requested_for_funding,funding_request,total_project_budget,funding_decision_year,award_date,grant_award,encumbered,city_town
Avery Creek CDP,21,Buncombe,3702760,3256,1880.2,1.73,53,676,2225,25,2200,302,0,302,65,0.28,0.16,0.97,1.12,17,Swannanoa River Road Flood Mitigation and Damage Reduction Feasibility Study,"The Swannanoa River floodplains between South Tunnel Road and Biltmore Avenue and Hendersonville Road in Asheville experience frequent flooding resulting in closure of Swannanoa River Road, property damage, disruption of emergency service access, and increased wastewater treatment costs due to sanitary sewer overflows. Swannanoa River Road serves as the principal east-west corridor for emergency services and access to Mission Hospital and Mission Children's Hospital. Golden LEAF flood mitigation grant funds will be used to evaluate the flood mitigation and flood damage reduction benefits of potential actions through hydrologic and hydraulic modeling, updating the Structure Inventory Database, developing a conceptual plan and feasibility analysis, and implementation cost estimates for the potential floodplain modifications. NCDOT State Transportation Improvement Program has allocated $48M for Swannanoa River Roadway corridor modernization in future years. The City will also pursue FEMA Flood Mitigation and Building Resilient Infrastructure and Communities funding for buyouts and floodplain restoration. City and County Metropolitan Sewerage District capital improvement funds can be used for utility relocations in the corridor. Businesses and households in the area will benefit from this project.",City of Asheville,Local Government,Planning,4/22/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,150000,150000,Asheville
Avon CDP,55,Dare,3702780,474,208.7,2.27,0,22,287,24,263,165,25,140,NA,0.67,0,98.64,98.64,21,Roanoke Island Drainage Improvements,"The Roanoke Colony residential neighborhood in Dare County experiences frequent flooding during major storm events due to undersized drainage structures in this flat, low-lying area on the northern end of Roanoke Island. After Hurricane Matthew, NCDOT and Dare County completed the 2019 Roanoke Island Flooding Analysis which proposed drainage improvements. Golden LEAF flood mitigation grant funds will be used to incorporate recommendations to upsize pipes and implement other improvements to the area. Areas upstream flood more frequently and the study determined undersized piping in the project area slowed the drainage of those properties. Proposed work includes replacing 150 linear feet of existing pipe with a larger size, enclosing the ditch within Roanoke Colony with drainage pipe with drop inlets, replacing the culvert beneath Roanoke Trail, removing the culvert immediately downstream of the airport property, and regrading/widening the ditch that runs between the Outer Banks SPCA and airport. Homes located in the upstream area identified in the analysis will benefit from this project.",Dare County,Local Government,Infrastructure,6/23/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,250000,250000,County
Badin town,167,Stanly,3702960,1976,1090,1.81,61,228,665,181,484,200,11,189,6,0.65,0.42,3.08,3.49,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,250000,250000,Albemarle
Bald Head Island village,19,Brunswick,3703150,209,53.4,3.91,0,0,49,2,47,160,4,156,69,0.01,6.02,77.24,83.26,13,"Holly, Walnut and Redwood Stormwater Project","Boiling Spring Lakes experiences flooding several times a year along Holly, Walnut, and Redwood roads. In 2014, a preliminary engineering report was conducted along these roads to determine optimal solutions to reduce flooding in the area. A 2021 stormwater management master plan prioritized this project. When flooding occurs in this area, homes experience flooding for multiple days. Boiling Spring Lakes will use Golden LEAF flood mitigation grant funds to install stormwater infrastructure along the areas of Holly, Walnut, and Redwood roads. Project activities include digging approximately 3,000 linear feet of drainage ditches with the installation of driveway pipes and several spans of reinforced concrete pipe. Households in the project area will benefit from this project.",City of Boiling Springs Lakes,Local Government,Infrastructure,5/9/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,8/4/22,250000,250000,Boiling Springs Lakes
Barker Ten Mile CDP,155,Robeson,3703665,955,419.5,2.28,9,101,532,34,498,313,8,305,64,0.57,0.07,6.52,6.59,4,Flood Mitigation for the Linkhaw Road Area,"Lumberton, specifically in the area of Linkhaw Road, experiences flooding in any 2-inch or greater rain event. The city completed several studies to develop strategies to resolve flooding throughout the city. This project area is part of its existing studies and is located along a major thoroughfare that is in a 518-acre drainage area. The specific project site is at the downstream end of a drainage ditch that has larger pipes upstream. Due to the undersized existing piping, this project site creates a bottleneck for stormwater flow. Golden LEAF flood mitigation grant funds will be used to upsize the capacity of stormwater at the juncture of Linkhaw Rd and the railroad. The applicant proposes to install stormwater infrastructure to increase the capacity of the flow under the railroad which will require widening the canal to accommodate it. The stormwater will flow into a culvert downstream and into an existing impoundment area. Once the infrastructure work is completed, the city will be able to utilize the road more reliably for emergency services. There are households, public and private entities (including a kidney dialysis center), and a nursing facility in the immediate project area.",City of Lumberton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,6/2/22,250000,250000,Lumberton
Barker Ten Mile CDP,155,Robeson,3703665,955,419.5,2.28,9,101,532,34,498,313,8,305,64,0.57,0.07,6.52,6.59,24,Stormwater Assessment and Plan,"The Town of Maxton experiences flooding during heavy rain events in the subwatershed that drains the eastern half of the town. The town first noticed damage to its system when severe damage occurred following Hurricane Matthew. FEMA addressed many issues in this part of town, including repairs to streets and culverts, but determined the conveyance pipe experienced damage that predated Hurricane Matthew and was not eligible for FEMA funding. Due to this evidence, the town realized other sites have likely experienced damage to infrastructure that was not as dramatically exposed as the damage noticed following Hurricane Matthew. Flooding has affected the town in a number of different ways. Access to emergency services becomes impacted, natural swales throughout the town have filled with sediment, which causes conveyance of the stormwater to no longer flow as it was intended. Sinkholes and depressions have also begun to form around stormwater conveyance pipes due to fractures in the system. Additionally, the town has experienced flooding events that flood the gym and adjacent classrooms in the local elementary school. The railroad running through town has also been overtopped during flooding events. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Assessment and Plan for the eastern half of the town. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. The town has also provided a resolution to its commitment for a funding strategy to implement improvements that are identified in the stormwater comprehensive plan. All residents of the town will benefit from this project. Within the immediate project area there are households, businesses, other public and private entities, and health care providers that will benefit from this project.",Town of Maxton,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,122500,122500,Maxton
Barnardsville CDP,21,Buncombe,3703720,742,210.3,3.53,0,286,390,38,352,66,41,25,NA,0.35,1.49,10.53,12.02,17,Swannanoa River Road Flood Mitigation and Damage Reduction Feasibility Study,"The Swannanoa River floodplains between South Tunnel Road and Biltmore Avenue and Hendersonville Road in Asheville experience frequent flooding resulting in closure of Swannanoa River Road, property damage, disruption of emergency service access, and increased wastewater treatment costs due to sanitary sewer overflows. Swannanoa River Road serves as the principal east-west corridor for emergency services and access to Mission Hospital and Mission Children's Hospital. Golden LEAF flood mitigation grant funds will be used to evaluate the flood mitigation and flood damage reduction benefits of potential actions through hydrologic and hydraulic modeling, updating the Structure Inventory Database, developing a conceptual plan and feasibility analysis, and implementation cost estimates for the potential floodplain modifications. NCDOT State Transportation Improvement Program has allocated $48M for Swannanoa River Roadway corridor modernization in future years. The City will also pursue FEMA Flood Mitigation and Building Resilient Infrastructure and Communities funding for buyouts and floodplain restoration. City and County Metropolitan Sewerage District capital improvement funds can be used for utility relocations in the corridor. Businesses and households in the area will benefit from this project.",City of Asheville,Local Government,Planning,4/22/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,150000,150000,Asheville
Bath town,13,Beaufort,3703840,220,616.1,0.36,0,15,84,9,75,121,6,115,61,0.24,3.6,74.08,77.68,12,Town of Aurora Drainage Ditch and Tributary Maintenance and Easement Plan,"The Town of Aurora experiences frequent flooding in heavy rainfall events, specifically in the northeast section of town. The ditches and tributaries no longer empty water at the speed at which they did previously. Aurora participated in the N.C. Resilient Coastal Communities Program and, through a public input process, prioritized assessing this existing infrastructure to address flooding. Golden LEAF flood mitigation grant funds will be used to create a maintenance plan and schedule for all the ditches and tributaries within the town’s jurisdiction and to determine a list of easements that will be required to implement the recommendations for maintenance. The entire town will benefit from the completion of this project.",Town of Aurora,Local Government,Planning,4/27/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,8/4/22,225000,225000,Aurora
Bayview CDP,13,Beaufort,3704040,473,448.2,1.06,0,28,310,30,280,135,0,135,NA,0.28,7.43,45.67,53.1,12,Town of Aurora Drainage Ditch and Tributary Maintenance and Easement Plan,"The Town of Aurora experiences frequent flooding in heavy rainfall events, specifically in the northeast section of town. The ditches and tributaries no longer empty water at the speed at which they did previously. Aurora participated in the N.C. Resilient Coastal Communities Program and, through a public input process, prioritized assessing this existing infrastructure to address flooding. Golden LEAF flood mitigation grant funds will be used to create a maintenance plan and schedule for all the ditches and tributaries within the town’s jurisdiction and to determine a list of easements that will be required to implement the recommendations for maintenance. The entire town will benefit from the completion of this project.",Town of Aurora,Local Government,Planning,4/27/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,8/4/22,225000,225000,Aurora
Belhaven town,13,Beaufort,3704640,1239,779,1.59,108,181,601,159,442,344,59,285,62,0.63,0,100,100,12,Town of Aurora Drainage Ditch and Tributary Maintenance and Easement Plan,"The Town of Aurora experiences frequent flooding in heavy rainfall events, specifically in the northeast section of town. The ditches and tributaries no longer empty water at the speed at which they did previously. Aurora participated in the N.C. Resilient Coastal Communities Program and, through a public input process, prioritized assessing this existing infrastructure to address flooding. Golden LEAF flood mitigation grant funds will be used to create a maintenance plan and schedule for all the ditches and tributaries within the town’s jurisdiction and to determine a list of easements that will be required to implement the recommendations for maintenance. The entire town will benefit from the completion of this project.",Town of Aurora,Local Government,Planning,4/27/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,8/4/22,225000,225000,Aurora
Belville town,19,Brunswick,3704950,2696,1581.8,1.7,24,439,1862,208,1654,347,5,342,75,0.33,2.1,26.01,28.11,13,"Holly, Walnut and Redwood Stormwater Project","Boiling Spring Lakes experiences flooding several times a year along Holly, Walnut, and Redwood roads. In 2014, a preliminary engineering report was conducted along these roads to determine optimal solutions to reduce flooding in the area. A 2021 stormwater management master plan prioritized this project. When flooding occurs in this area, homes experience flooding for multiple days. Boiling Spring Lakes will use Golden LEAF flood mitigation grant funds to install stormwater infrastructure along the areas of Holly, Walnut, and Redwood roads. Project activities include digging approximately 3,000 linear feet of drainage ditches with the installation of driveway pipes and several spans of reinforced concrete pipe. Households in the project area will benefit from this project.",City of Boiling Springs Lakes,Local Government,Infrastructure,5/9/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,8/4/22,250000,250000,Boiling Springs Lakes
Bennett CDP,37,Chatham,3705020,355,111,3.2,52,109,154,63,91,40,18,22,NA,0.57,NA,NA,NA,16,Loves Creek Tributary 2 Flood Study,The Town of Siler City experiences flooding along Loves Creek Tributary 2 several times a year during heavy rain events. Flooding along the tributary causes nearby businesses to experience property damage and roadways to flood resulting in loss of access by the public. Golden LEAF flood mitigation grant funds will be used for necessary analysis to determine a list of priority projects for flood and stormwater mitigation. The town and business owners in the area will be responsible for implementation. The town is also committing to the creation of a stormwater utility fund. Businesses and households in the area will benefit from this project.,Town of Siler City,Local Government,Planning,3/29/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,210000,210000,Siler City
Benson town,101,Johnston,3705040,3843,1370.1,2.8,519,372,1811,484,1327,1059,254,805,NA,0.75,0,1,1,23,Selma Flood Mitigation modeling,"The Town of Selma experiences flooding during heavy non-named rain events in the northeast quadrant of town. The town is separated in four quadrants that are separated by railroads crossing through the center of town. Each quadrant has its own individual internal drainage creating a bowl type system. Golden LEAF flood mitigation grant funds will be used to develop a stormwater master plan for the Town of Selma in the northeastern quadrant. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. Within this quadrant there are households, businesses, other public and private facilities, and healthcare facilities that will benefit from this project. Additionally, the Town Hall, the Selma Fire Department, and the historic Rudy Theater are located in this area. The roads around the fire and EMS stations become impassable. Access to US highway 301 also becomes restricted during flood events. ",Town of Selma,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,137500,137500,Selma
Bent Creek CDP,21,Buncombe,3705049,1652,747.6,2.21,0,456,974,46,928,217,19,198,61,0.24,NA,NA,NA,17,Swannanoa River Road Flood Mitigation and Damage Reduction Feasibility Study,"The Swannanoa River floodplains between South Tunnel Road and Biltmore Avenue and Hendersonville Road in Asheville experience frequent flooding resulting in closure of Swannanoa River Road, property damage, disruption of emergency service access, and increased wastewater treatment costs due to sanitary sewer overflows. Swannanoa River Road serves as the principal east-west corridor for emergency services and access to Mission Hospital and Mission Children's Hospital. Golden LEAF flood mitigation grant funds will be used to evaluate the flood mitigation and flood damage reduction benefits of potential actions through hydrologic and hydraulic modeling, updating the Structure Inventory Database, developing a conceptual plan and feasibility analysis, and implementation cost estimates for the potential floodplain modifications. NCDOT State Transportation Improvement Program has allocated $48M for Swannanoa River Roadway corridor modernization in future years. The City will also pursue FEMA Flood Mitigation and Building Resilient Infrastructure and Communities funding for buyouts and floodplain restoration. City and County Metropolitan Sewerage District capital improvement funds can be used for utility relocations in the corridor. Businesses and households in the area will benefit from this project.",City of Asheville,Local Government,Planning,4/22/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,150000,150000,Asheville
Bethania town,67,Forsyth,3705340,351,517.3,0.68,0,24,207,33,174,120,0,120,62,0.35,2.85,30.1,32.95,18,Thomas Drake Ct Project,"The Town of Kernersville discovered a sizable hole and longitudinal fractures during inspection of the culvert crossing on Thomas Drake Court. Failure of the culvert would lead to the development of a sinkhole, loss of the road, area flooding and potential property damage for residents. Loss of the road would also prevent access for emergency services. An existing sewer line could also be undermined causing failure resulting in loss of services as well as wastewater entering the channel. Golden LEAF flood mitigation grant funds will be used to replace the existing damaged culvert. The project will include removal of the failing corrugated metal pipe and replace it with reinforced concrete pipe (RCP). The culvert will be extended upstream of the crossing. The extension will provide protection to the adjacent sewer line. Downstream of the culvert crossing, two driveway culvert crossings will be abandoned in place and the new RCP installed with tie-in to the proposed headwall. Stream realignment and stabilization grading both upstream and downstream will better direct flow and prevent further erosion. Households located in the immediate project area in the section of Thomas Drake Court from the culvert crossing northward to the cul-de-sac will directly benefit from this project.",Town of Kernersville,Local Government,Infrastructure,5/20/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,250000,250000,Kernersville
Beulaville town,61,Duplin,3705660,1666,1078.8,1.54,113,239,981,285,696,329,38,291,48,0.71,NA,NA,NA,1,Flood mitigation Currie/Duplin street,"The stormwater drainage canal located between Duplin and Currie Streets in Wallace experiences flooding during major storms and periods of heavy rainfall occurring within a short period of time. Continued flooding has resulted in caving in and widening of the canal which is now in danger of undermining nearby houses. Previous efforts by the Town to haul in dirt to shore up the bank have not provided a viable long term solution. Golden LEAF flood mitigation grant funds will be used to install sheet piling and rip rap along the bank to stop erosion, improve the transport of stormwater, and significantly reduce flooding along the canal. This canal carries one third of total stormwater for the town and connects downstream to the main branch of Little Rockfish Creek, which is the town’s main drainage area. There are two households in the immediate project area. The flooding and erosion also threaten a main sewer line that crosses over and runs parallel to the canal,  and which must be inspected for damage and exposure after each heavy rain event.
",Town of Wallace,Local Government,Infrastructure,2/22/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,6/2/22,250000,250000,Wallace
Biltmore Forest town,21,Buncombe,3705880,1679,577,2.91,15,385,789,19,770,490,9,481,77,0.03,0.11,3.89,4,17,Swannanoa River Road Flood Mitigation and Damage Reduction Feasibility Study,"The Swannanoa River floodplains between South Tunnel Road and Biltmore Avenue and Hendersonville Road in Asheville experience frequent flooding resulting in closure of Swannanoa River Road, property damage, disruption of emergency service access, and increased wastewater treatment costs due to sanitary sewer overflows. Swannanoa River Road serves as the principal east-west corridor for emergency services and access to Mission Hospital and Mission Children's Hospital. Golden LEAF flood mitigation grant funds will be used to evaluate the flood mitigation and flood damage reduction benefits of potential actions through hydrologic and hydraulic modeling, updating the Structure Inventory Database, developing a conceptual plan and feasibility analysis, and implementation cost estimates for the potential floodplain modifications. NCDOT State Transportation Improvement Program has allocated $48M for Swannanoa River Roadway corridor modernization in future years. The City will also pursue FEMA Flood Mitigation and Building Resilient Infrastructure and Communities funding for buyouts and floodplain restoration. City and County Metropolitan Sewerage District capital improvement funds can be used for utility relocations in the corridor. Businesses and households in the area will benefit from this project.",City of Asheville,Local Government,Planning,4/22/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,150000,150000,Asheville
